4.9046 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.5897 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.4285 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B236C1AFD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B237091F40>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4287 	EXP 	window1: mouseVisible = True
13.4289 	EXP 	window1: mouseVisible = False
13.4289 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.4289 	EXP 	window1: recordFrameIntervals = False
13.5946 	EXP 	window1: recordFrameIntervals = True
13.7787 	EXP 	Screen (0) actual frame rate measured at 59.84Hz
13.7788 	EXP 	window1: recordFrameIntervals = False
16.3454 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.4216 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.4289 	EXP 	Imported C:/Users/Admin/Desktop/Lab in Psy/Conditions for T6.xlsx as conditions, 7 conditions, 3 params
16.4314 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
16.4322 	EXP 	New trial (rep=0, index=0): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
16.5326 	EXP 	text: height = 0.05
16.5326 	EXP 	text: height = 0.05
16.5326 	EXP 	text: height = 0.05
16.5326 	EXP 	text: text = 'GBP 78 today or  GBP 80 after 162 days'
16.5326 	EXP 	fixation: autoDraw = True
17.4274 	EXP 	text: autoDraw = True
17.5439 	EXP 	fixation: autoDraw = False
26.6473 	DATA 	Keypress: d
29.6794 	DATA 	Keypress: l
29.6975 	EXP 	New trial (rep=0, index=1): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
29.7236 	EXP 	fixation: autoDraw = False
29.7236 	EXP 	text: autoDraw = False
29.7236 	EXP 	text: height = 0.05
29.7236 	EXP 	text: height = 0.05
29.7236 	EXP 	text: height = 0.05
29.7236 	EXP 	text: text = 'GBP 49 today or  GBP 60 after 89 days'
29.7236 	EXP 	fixation: autoDraw = True
30.7089 	EXP 	text: autoDraw = True
30.7258 	EXP 	fixation: autoDraw = False
38.6465 	DATA 	Keypress: t
